TheHiddenWorId||893285414911352832||Glazed brick relief of a striding lion from the palace of Nebuchadnezzar II. Babylon, 600 BC https://t.co/ro8GUCrY1m||https://pbs.twimg.com/media/DGU6h20VwAAWWlR.jpg||
TheHiddenWorId||892932489634656256||Leather jerkin belonging to a youth, London, 1550-1600 https://t.co/tkQMYHF8I7||https://pbs.twimg.com/media/DGPw7ryXYAI-U8z.jpg||
TheHiddenWorId||892559031432118272||A Roman bed with the footrest that was recovered from the ruins, Pompeii https://t.co/2bHtjsk4SA||https://pbs.twimg.com/media/DGKnW5iVoAAZjmZ.jpg||
TheHiddenWorId||892243908490534912||A 40,000 year old bracelet made by an extinct human ancestor, the (Denisovans)... https://t.co/jAX71APdX9||https://pbs.twimg.com/media/DGHi9LfUAAEhjUW.jpg||
TheHiddenWorId||892204979125014529||Golden headdress excavated from the ancient Bactrian site of Tilliya tepe in present-day Afghanistan https://t.co/DzF2YiaTsO||https://pbs.twimg.com/media/DGFdwgxXYAIlZ-A.jpg||
TheHiddenWorId||892189759639912448||There is a door in a temple in India that no one can open https://t.co/yBWQzUlLOo||https://pbs.twimg.com/media/DFHymXlUwAAptXi.jpg||
TheHiddenWorId||891828806998040576||Pendant of Osorkon II, XXIInd egyptian dynasty, 850 BC. It represents Osiris's family and was made with solid gold… https://t.co/f0ijrWzG0E||||
TheHiddenWorId||891468105460797440||Smith &amp; Wesson and Tiffany &amp; Co., Smith and Wesson new model no. 3, .44 caliber double-action navy revolver, serial… https://t.co/1BV8BUDVL5||||
TheHiddenWorId||891105935074107392||A fine and rare Seljuk silver and gold ring set with a deep purple stone seal bearing the name of Ali Ibn Yusuf, Pe… https://t.co/8UnvM836t2||||
TheHiddenWorId||890407360069369857||The mummified head of Egyptian Pharaoh Ramesses V. You can still see his smallpox scars. Cairo's Museum of Egyptian… https://t.co/o2Xl7HCT1U||||
TheHiddenWorId||890001911146979328||Skull and crown of swedish medieval king, Eric IX. c.1160 AD https://t.co/FgF6d6hraS||https://pbs.twimg.com/media/DFmkNumWAAECDmq.jpg||
TheHiddenWorId||889682461818470400||Statue found in Aïn Ghazal, Jordany. Dated back to the VII millenium BC. It is the oldest artefact exposed at the L… https://t.co/aWXoXKNp8g||||
TheHiddenWorId||888906141731659776||The oldest known game of Monopoly, handmade by Charles Darrow c. 1930, in the Strong Museum in Rochester https://t.co/jeMbNIPXGN||https://pbs.twimg.com/media/DFXHcoKXkAAEu6H.jpg||
TheHiddenWorId||888557319981629440||Book box from Lombardy, Italy 1465-1485 https://t.co/MMimCQgQPu||https://pbs.twimg.com/media/DFR93saXcAE8Q9v.jpg||
TheHiddenWorId||888218659327401984||Scarab Bracelet of Tutankhamun https://t.co/CUhf6e5DA3||https://pbs.twimg.com/media/DFM0TB5UQAARuyI.jpg||
TheHiddenWorId||887837495668252673||Helmet and Skull of a Greek Warrior Slain at Marathon (490BC) https://t.co/7ys7iKtygC||https://pbs.twimg.com/media/DFHqrTRWsAEnOFx.jpg||
TheHiddenWorId||887512387003138048||RT @WeirdCrimeFacts: The case of William West. https://t.co/98Q1IuROSj||https://pbs.twimg.com/media/CYs-G11WAAAwUup.jpg||
TheHiddenWorId||887463040190369792||The ceremonial sword of Jean de La Valette, 49th Grandmaster of the Knights of St. John https://t.co/JnWGlqermd||https://pbs.twimg.com/media/DFChGKTXYAEhu67.jpg||
TheHiddenWorId||887098609857994753||Atmospheric diving suit built by Carmagnolle brothers in 1882 https://t.co/9al7PESQXB||https://pbs.twimg.com/media/DE9XflKXYAEo5fm.jpg||
TheHiddenWorId||886382970080120832||This rare 12th century dog collar was found by archaeologists working in Waterford city https://t.co/VKB8c2IAtW||https://pbs.twimg.com/media/DEzEVFxXYAEzt3w.jpg||
TheHiddenWorId||886015125328609280||Cuirass holed by a canonball at Waterloo Battle https://t.co/vOxzVQVI6B||https://pbs.twimg.com/media/DEt6ueaXYAIqr4y.jpg||
TheHiddenWorId||885639157682393088||Ibis, Egypt 600–30 B.C. https://t.co/12ceXvU80J||https://pbs.twimg.com/media/DEoxIraUMAAdm-Q.jpg||
TheHiddenWorId||885338989057589248||The Terme Boxer - Hellenistic Bronze statue ~300-50 BC https://t.co/OJ3MuLj28p||https://pbs.twimg.com/media/DElZG1JU0AEhW6q.jpg||
TheHiddenWorId||884951017984360449||Italian battle armor, from the workshop of Pompeo della Cesa, 16th century https://t.co/j3sEmF6A4e||https://pbs.twimg.com/media/DEed9nXW0AIHGvJ.jpg||
TheHiddenWorId||884222171416887296||18th Century Chain-shot naval cannon projectile designed to destroy the rigging of sailing vessels https://t.co/y1K2Mv0I7q||https://pbs.twimg.com/media/DEUKyLeXYAMR0KQ.jpg||
TheHiddenWorId||883855472125632512||Joyeuse - Charlemagne's personal sword https://t.co/xe32uWNUgm||https://pbs.twimg.com/media/DEPBNJVWsAQyOdK.jpg||
