id,que,twi_id,retwi,fav,desc,imgurl
1369,rafaelzabaleta,914681441946087424,1,0,"RT @Reporte24VE: Maduro condena la ""represión brutal"" a los votantes en Cataluña. https://t.co/AdRviE77RR",
1370,rafaelzabaleta,914681426368503808,292,0,"RT @ActualidadRT: ""La respuesta policial en Cataluña ha sido totalmente desproporcionada"" https://t.co/IoKdGV3haR https://t.co/ZYw2IQWrgz",https://pbs.twimg.com/media/DLGXIYmW4AAkS0J.jpg
1371,rafaelzabaleta,914681147317202944,5,0,"RT @lasillarota: Pumas, la afición que no sabe perder y responde a golpes https://t.co/zXVSAtEKdR https://t.co/H2EGAOKH3S",https://pbs.twimg.com/media/DLGWM-cVYAET0Ci.jpg
1372,rafaelzabaleta,914680586052280320,550,0,"RT @TITORODRIGUEZZ: NO OLVIDO El sufrimiento de Pedro Yammine, al ser APLASTADO x tanqueta de guardias de Maduro en Vzla #Cataluña Isco htt…",
1373,rafaelzabaleta,914680462395805696,7,0,"RT @ResistenciaV58: ¡MOMENTO DE PÁNICO! Mira la balacera en el puente Simón Bolívar, en la frontera entre Colombia y Venezuela https://t.co…",
1374,rafaelzabaleta,914680390853545984,155,0,RT @PSOE: 👉 Os dejamos el enlace al vídeo de la comparecencia de @sanchezcastejon  ante la situación en Catalunya https://t.co/1Mjva4K2Uo h…,
1375,rafaelzabaleta,914680336939921409,922,0,RT @PSOE: 🔴 @sanchezcastejon Quiero dejar claro nuestro desacuerdo con las cargas policiales producidas en el día de hoy. El deseo de la pr…,
1376,rafaelzabaleta,914680217574232065,266,0,"RT @PSOE: 🔴 @sanchezcastejon “Quiero volver a apelar a la calma necesaria, al sosiego y a la contención para no seguir erosionando la convi…",
1377,rafaelzabaleta,914679912421842949,2266,0,RT @MartinSchulz: Die Eskalation in Spanien ist besorgniserregend. Madrid und Barcelona müssen sofort deeskalieren und den Dialog suchen.,
1378,rafaelzabaleta,914679835984891905,1939,0,"RT @europapress: Rivera avisa: ""El futuro de España no pasa por conceder más privilegios a los separatistas. Lo ocurrido hoy debe de ser un…",
1379,rafaelzabaleta,914679365186834436,4,0,RT @elimpulsocom: Sismo de magnitud 5.7 en Norte de Santander se sintió en Venezuela - El Impulso https://t.co/bgTXae3jRh,
1380,rafaelzabaleta,914678239632687105,3505,0,RT @elmundoes: Una imagen de la fractura social en Cataluña. Tensión e insultos en la Plaza de la Universidad de Barcelona. https://t.co/8k…,
1381,rafaelzabaleta,914678047630086144,9,0,RT @NTN24: Cantante Marilyn Manson resultó herido luego de que le cayera encima el decorado de un concierto https://t.co/jpjfe41lP9 https:/…,
